0,翼,チューナー…,false,,,,,false,,Tsubasa,Kiss,7,false
1,翼,いいよ…んっ…,false,,,,,false,,Tsubasa,Kiss,8,false
2,チューナー,んっ…,false,,,,,false,,Tsubasa,Kiss,0,false
3,翼,んっ…んんっ！ちゅ、ちゅーなぁっ！きゅうにし、した入れないでよぉ…っ///,false,,,,,false,,Tsubasa,Kiss,6,false
4,翼,んっはぁっはぁっんん…,false,,,,,false,,Tsubasa,Kiss,5,false
5,チューナー,俺は…,true,ベッドに押し倒す,ここはぐっとこらえて勉強に戻る,6,9,false,,Tsubasa,Kiss,2,false
6,チューナー,（ドン！）,false,,,,,false,,Tsubasa,Kiss,2,false
7,翼,きゃっ！もうっ、チューナー、強引だよぉ！///,false,,,,,false,,Tsubasa,Kiss,5,false
8,チューナー,ごめん、もう我慢できない…,false,,,,,false,"",Tsubasa,Kiss,6,false
9,翼,せっかちさんだね、チューナーは,false,,,,,false,"",Tsubasa,Kiss,2,false
10,"",そう言ってまんざらでもなさそうに、翼はほほ笑んだ。,false,,,,,false,,Tsubasa,Kiss,5,true
11,チューナー,えっと、それじゃあ勉強に戻ろうか,false,,,,,false,,Tsubasa,Kiss,1,false
